"","Batter_Name","field_zone","n_boundaries"
"604","Ramandeep Singh","Fine leg",1
"605","Ramandeep Singh","Straight (leg-side)",19
"606","Rashid Khan","Straight (off-side) / long-off",19
"607","Rashid Khan","Extra cover",1
"608","Rashid Khan","Straight (leg-side)",32
"609","Rasikh Salam","Straight (off-side) / long-off",2
"610","Rasikh Salam","Straight (leg-side)",3
"611","Ravi Bishnoi","Straight (off-side) / long-off",1
"612","Ravi Bishnoi","Extra cover",1
"613","Ravi Bishnoi","Straight (leg-side)",1
"614","Shikhar Dhawan","Straight (off-side) / long-off",49
"615","Shikhar Dhawan","Fine leg",1
"616","Shikhar Dhawan","Square leg",1
"617","Shikhar Dhawan","Midwicket",1
"618","Shikhar Dhawan","Straight (leg-side)",90
"619","Shivam Dube","Straight (off-side) / long-off",57
"620","Shivam Dube","Third man",1
"621","Shivam Dube","Fine leg",2
"622","Shivam Dube","Long-on",2
"623","Shivam Dube","Straight (leg-side)",122
"624","Shreyas Gopal","Straight (off-side) / long-off",1
"625","Shreyas Gopal","Midwicket",1
"626","Sean Abbott","Straight (leg-side)",1
"627","Suryakumar Yadav","Straight (off-side) / long-off",111
"628","Suryakumar Yadav","Extra cover",1
"629","Suryakumar Yadav","Third man",3
"630","Suryakumar Yadav","Fine leg",2
"631","Suryakumar Yadav","Square leg",2
"632","Suryakumar Yadav","Midwicket",2
"633","Suryakumar Yadav","Long-on",1
"634","Suryakumar Yadav","Straight (leg-side)",171
"635","Shubham Dubey","Straight (off-side) / long-off",5
"636","Shubham Dubey","Straight (leg-side)",14
"637","Shai Hope","Straight (off-side) / long-off",8
"638","Shai Hope","Extra cover",1
"639","Shai Hope","Third man",1
"640","Shai Hope","Straight (leg-side)",14
"641","Sherfane Rutherford","Straight (off-side) / long-off",19
"642","Sherfane Rutherford","Midwicket",1
"643","Sherfane Rutherford","Straight (leg-side)",22
"644","Spencer Johnson","Straight (off-side) / long-off",1
"645","SK Rasheed","Straight (off-side) / long-off",5
"646","SK Rasheed","Straight (leg-side)",6
"647","Sam Curran","Straight (off-side) / long-off",24
"648","Sam Curran","Backward square leg",1
"649","Sam Curran","Square leg",1
"650","Sam Curran","Straight (leg-side)",52
"651","Sarfaraz Khan","Straight (off-side) / long-off",4
"652","Sarfaraz Khan","Fine leg",1
"653","Sarfaraz Khan","Square leg",1
"654","Sarfaraz Khan","Long-on",1
"655","Sarfaraz Khan","Straight (leg-side)",9
"656","Shardul Thakur","Straight (off-side) / long-off",16
"657","Shardul Thakur","Third man",1
"658","Shardul Thakur","Fine leg",1
"659","Shardul Thakur","Square leg",1
"660","Shardul Thakur","Straight (leg-side)",18
"661","Shimron Hetmyer","Straight (off-side) / long-off",45
"662","Shimron Hetmyer","Extra cover",3
"663","Shimron Hetmyer","Fine leg",2
"664","Shimron Hetmyer","Midwicket",1
"665","Shimron Hetmyer","Long-on",1
"666","Shimron Hetmyer","Straight (leg-side)",70
"667","Sheldon Jackson","Straight (off-side) / long-off",1
"668","Sunil Narine","Straight (off-side) / long-off",55
"669","Sunil Narine","Fine leg",1
"670","Sunil Narine","Square leg",1
"671","Sunil Narine","Long-on",1
"672","Sunil Narine","Straight (leg-side)",84
"673","Shreyas Iyer","Straight (off-side) / long-off",56
"674","Shreyas Iyer","Third man",3
"675","Shreyas Iyer","Fine leg",1
"676","Shreyas Iyer","Midwicket",1
"677","Shreyas Iyer","Long-on",3
"678","Shreyas Iyer","Straight (leg-side)",118
"679","Suyash Prabhudessai","Straight (off-side) / long-off",5
"680","Suyash Prabhudessai","Straight (leg-side)",10
"681","Sanju Samson","Straight (off-side) / long-off",73
"682","Sanju Samson","Extra cover",1
"683","Sanju Samson","Fine leg",6
"684","Sanju Samson","Square leg",2
"685","Sanju Samson","Midwicket",1
"686","Sanju Samson","Long-on",3
"687","Sanju Samson","Straight (leg-side)",144
"688","Sam Billings","Straight (off-side) / long-off",4
"689","Sam Billings","Extra cover",1
"690","Sam Billings","Cover",1
"691","Sam Billings","Straight (leg-side)",13
"692","Sameer Rizvi","Straight (off-side) / long-off",10
"693","Sameer Rizvi","Square leg",1
"694","Sameer Rizvi","Straight (leg-side)",13
"695","Sanvir Singh","Straight (off-side) / long-off",1
"696","Sanvir Singh","Straight (leg-side)",2
"697","Saurav Chauhan","Straight (off-side) / long-off",1
"698","Saurav Chauhan","Straight (leg-side)",1
"699","Sediqullah Atal","Straight (off-side) / long-off",1
"700","Sediqullah Atal","Straight (leg-side)",1
"701","Shahbaz Ahmed","Straight (off-side) / long-off",15
"702","Shahbaz Ahmed","Midwicket",2
"703","Shahbaz Ahmed","Straight (leg-side)",31
"704","Shashank Singh","Straight (off-side) / long-off",37
"705","Shashank Singh","Extra cover",2
"706","Shashank Singh","Third man",1
"707","Shashank Singh","Square leg",1
"708","Shashank Singh","Straight (leg-side)",58
"709","Shubman Gill","Straight (off-side) / long-off",95
"710","Shubman Gill","Extra cover",2
"711","Shubman Gill","Third man",3
"712","Shubman Gill","Fine leg",2
"713","Shubman Gill","Backward square leg",1
"714","Shubman Gill","Square leg",1
"715","Shubman Gill","Midwicket",1
"716","Shubman Gill","Long-on",5
"717","Shubman Gill","Straight (leg-side)",208
"718","Sikandar Raza","Straight (off-side) / long-off",9
"719","Sikandar Raza","Backward square leg",1
"720","Sikandar Raza","Straight (leg-side)",10
"721","Sumit Kumar","Straight (off-side) / long-off",1
"722","Sumit Kumar","Cover",1
"723","Sumit Kumar","Straight (leg-side)",1
"724","Swapnil Singh","Straight (off-side) / long-off",2
"725","Swapnil Singh","Straight (leg-side)",4
"726","Tom Kohler-Cadmore","Straight (off-side) / long-off",2
"727","Tom Kohler-Cadmore","Fine leg",1
"728","Tom Kohler-Cadmore","Long-on",1
"729","Tom Kohler-Cadmore","Straight (leg-side)",4
"730","Tristan Stubbs","Straight (off-side) / long-off",21
"731","Tristan Stubbs","Extra cover",2
"732","Tristan Stubbs","Third man",2
"733","Tristan Stubbs","Fine leg",1
"734","Tristan Stubbs","Backward square leg",2
"735","Tristan Stubbs","Square leg",1
"736","Tristan Stubbs","Midwicket",1
"737","Tristan Stubbs","Long-on",1
"738","Tristan Stubbs","Straight (leg-side)",58
"739","Trent Boult","Straight (off-side) / long-off",4
"740","Trent Boult","Straight (leg-side)",3
"741","Tim David","Straight (off-side) / long-off",39
"742","Tim David","Third man",2
"743","Tim David","Long-on",1
"744","Tim David","Straight (leg-side)",72
"745","Tim Seifert","Straight (off-side) / long-off",1
"746","Tim Seifert","Straight (leg-side)",3
"747","Travis Head","Straight (off-side) / long-off",56
"748","Travis Head","Cover",2
"749","Travis Head","Third man",4
"750","Travis Head","Fine leg",1
"751","Travis Head","Square leg",1
"752","Travis Head","Long-on",2
"753","Travis Head","Straight (leg-side)",95
"754","Tanush Kotian","Straight (off-side) / long-off",1
"755","Tanush Kotian","Straight (leg-side)",2
"756","Tilak Varma","Straight (off-side) / long-off",58
"757","Tilak Varma","Third man",1
"758","Tilak Varma","Fine leg",1
"759","Tilak Varma","Backward square leg",2
"760","Tilak Varma","Square leg",1
"761","Tilak Varma","Long-on",1
"762","Tilak Varma","Straight (leg-side)",123
"763","Umesh Yadav","Straight (off-side) / long-off",2
"764","Umesh Yadav","Straight (leg-side)",8
"765","Umran Malik","Straight (off-side) / long-off",2
"766","Umran Malik","Straight (leg-side)",1
"767","Urvil Patel","Straight (off-side) / long-off",6
"768","Urvil Patel","Straight (leg-side)",5
"769","Virat Kohli","Straight (off-side) / long-off",109
"770","Virat Kohli","Extra cover",1
"771","Virat Kohli","Third man",2
"772","Virat Kohli","Fine leg",2
"773","Virat Kohli","Backward square leg",2
"774","Virat Kohli","Square leg",1
"775","Virat Kohli","Midwicket",1
"776","Virat Kohli","Long-on",1
"777","Virat Kohli","Straight (leg-side)",187
"778","V Nigam","Straight (off-side) / long-off",7
"779","V Nigam","Long-on",2
"780","V Nigam","Straight (leg-side)",15
"781","Vijay Shankar","Straight (off-side) / long-off",19
"782","Vijay Shankar","Extra cover",1
"783","Vijay Shankar","Fine leg",1
"784","Vijay Shankar","Long-on",1
"785","Vijay Shankar","Straight (leg-side)",41
"786","V Suryavanshi","Straight (off-side) / long-off",13
"787","V Suryavanshi","Backward square leg",1
"788","V Suryavanshi","Straight (leg-side)",28
"789","Venkatesh Iyer","Straight (off-side) / long-off",49
"790","Venkatesh Iyer","Third man",2
"791","Venkatesh Iyer","Midwicket",1
"792","Venkatesh Iyer","Long-on",2
"793","Venkatesh Iyer","Straight (leg-side)",96
"794","Vijaykumar Vyshak","Straight (off-side) / long-off",1
"795","Vishnu Vinod","Straight (off-side) / long-off",1
"796","Vishnu Vinod","Straight (leg-side)",3
"797","Vivrant Sharma","Straight (off-side) / long-off",2
"798","Vivrant Sharma","Straight (leg-side)",9
"799","Will Jacks","Straight (off-side) / long-off",23
"800","Will Jacks","Third man",2
"801","Will Jacks","Square leg",1
"802","Will Jacks","Long-on",2
"803","Will Jacks","Straight (leg-side)",39
"804","Wriddhiman Saha","Straight (off-side) / long-off",47
"805","Wriddhiman Saha","Extra cover",1
"806","Wriddhiman Saha","Fine leg",1
"807","Wriddhiman Saha","Straight (leg-side)",74
"808","Washington Sundar","Straight (off-side) / long-off",16
"809","Washington Sundar","Extra cover",1
"810","Washington Sundar","Straight (leg-side)",18
"811","Xavier Bartlett","Straight (off-side) / long-off",1
"812","Yashasvi Jaiswal","Straight (off-side) / long-off",103
"813","Yashasvi Jaiswal","Extra cover",2
"814","Yashasvi Jaiswal","Third man",1
"815","Yashasvi Jaiswal","Fine leg",2
"816","Yashasvi Jaiswal","Backward square leg",1
"817","Yashasvi Jaiswal","Square leg",3
"818","Yashasvi Jaiswal","Midwicket",1
"819","Yashasvi Jaiswal","Long-on",3
"820","Yashasvi Jaiswal","Straight (leg-side)",189
"821","Yash Dhull","Straight (leg-side)",1
"822","Yudhvir Singh","Straight (off-side) / long-off",1
"823","Yudhvir Singh","Straight (leg-side)",2
