"","Batter_Name","field_zone","n_boundaries"
"410","Mohammed Shami","Straight (off-side) / long-off",1
"411","Mohammed Shami","Straight (leg-side)",1
"412","Mohammed Siraj","Straight (off-side) / long-off",5
"413","Mohammed Siraj","Straight (leg-side)",2
"414","Mohsin Khan","Straight (off-side) / long-off",1
"415","Mohsin Khan","Straight (leg-side)",2
"416","Mukesh Choudhary","Straight (off-side) / long-off",1
"417","Narayan Jagadeesan","Straight (off-side) / long-off",9
"418","Narayan Jagadeesan","Fine leg",2
"419","Narayan Jagadeesan","Straight (leg-side)",8
"420","Nicholas Pooran","Straight (off-side) / long-off",76
"421","Nicholas Pooran","Extra cover",2
"422","Nicholas Pooran","Third man",1
"423","Nicholas Pooran","Fine leg",2
"424","Nicholas Pooran","Backward square leg",1
"425","Nicholas Pooran","Square leg",1
"426","Nicholas Pooran","Long-on",2
"427","Nicholas Pooran","Straight (leg-side)",160
"428","Nitish Rana","Straight (off-side) / long-off",49
"429","Nitish Rana","Extra cover",1
"430","Nitish Rana","Third man",1
"431","Nitish Rana","Fine leg",2
"432","Nitish Rana","Backward square leg",1
"433","Nitish Rana","Square leg",1
"434","Nitish Rana","Long-on",2
"435","Nitish Rana","Straight (leg-side)",95
"436","Nehal Wadhera","Straight (off-side) / long-off",34
"437","Nehal Wadhera","Extra cover",2
"438","Nehal Wadhera","Fine leg",1
"439","Nehal Wadhera","Straight (leg-side)",62
"440","Naman Dhir","Straight (off-side) / long-off",19
"441","Naman Dhir","Fine leg",1
"442","Naman Dhir","Backward square leg",1
"443","Naman Dhir","Square leg",1
"444","Naman Dhir","Straight (leg-side)",38
"445","Naveen-ul-Haq","Straight (off-side) / long-off",1
"446","Naveen-ul-Haq","Straight (leg-side)",1
"447","Nitish Kumar Reddy","Straight (off-side) / long-off",12
"448","Nitish Kumar Reddy","Backward square leg",2
"449","Nitish Kumar Reddy","Straight (leg-side)",42
"450","Noor Ahmad","Straight (off-side) / long-off",1
"451","Noor Ahmad","Straight (leg-side)",1
"452","Obed McCoy","Straight (leg-side)",1
"453","Odean Smith","Straight (off-side) / long-off",2
"454","Odean Smith","Straight (leg-side)",4
"455","Praveen Dubey","Straight (leg-side)",2
"456","Prabhsimran Singh","Straight (off-side) / long-off",71
"457","Prabhsimran Singh","Extra cover",1
"458","Prabhsimran Singh","Third man",2
"459","Prabhsimran Singh","Fine leg",1
"460","Prabhsimran Singh","Backward square leg",1
"461","Prabhsimran Singh","Long-on",3
"462","Prabhsimran Singh","Straight (leg-side)",127
"463","Bhanuka Rajapaksa","Straight (off-side) / long-off",9
"464","Bhanuka Rajapaksa","Extra cover",1
"465","Bhanuka Rajapaksa","Third man",1
"466","Bhanuka Rajapaksa","Backward square leg",1
"467","Bhanuka Rajapaksa","Midwicket",1
"468","Bhanuka Rajapaksa","Straight (leg-side)",24
"469","Phil Salt","Straight (off-side) / long-off",62
"470","Phil Salt","Extra cover",2
"471","Phil Salt","Fine leg",1
"472","Phil Salt","Backward square leg",1
"473","Phil Salt","Midwicket",1
"474","Phil Salt","Long-on",2
"475","Phil Salt","Straight (leg-side)",109
"476","PHKD Mendis","Straight (off-side) / long-off",1
"477","PHKD Mendis","Straight (leg-side)",8
"478","Pat Cummins","Straight (off-side) / long-off",12
"479","Pat Cummins","Third man",1
"480","Pat Cummins","Straight (leg-side)",28
"481","Priyam Garg","Straight (off-side) / long-off",1
"482","Priyam Garg","Straight (leg-side)",6
"483","Prerak Mankad","Straight (off-side) / long-off",4
"484","Prerak Mankad","Fine leg",1
"485","Prerak Mankad","Long-on",1
"486","Prerak Mankad","Straight (leg-side)",9
"487","Piyush Chawla","Straight (off-side) / long-off",1
"488","Piyush Chawla","Straight (leg-side)",3
"489","Prithvi Shaw","Straight (off-side) / long-off",34
"490","Prithvi Shaw","Third man",1
"491","Prithvi Shaw","Backward square leg",1
"492","Prithvi Shaw","Midwicket",1
"493","Prithvi Shaw","Long-on",1
"494","Prithvi Shaw","Straight (leg-side)",61
"495","Dushmantha Chameera","Straight (off-side) / long-off",1
"496","Dushmantha Chameera","Straight (leg-side)",5
"497","Wiaan Mulder","Straight (leg-side)",1
"498","Wanindu Hasaranga","Straight (off-side) / long-off",3
"499","Wanindu Hasaranga","Straight (leg-side)",5
"500","Priyansh Arya","Straight (off-side) / long-off",31
"501","Priyansh Arya","Third man",1
"502","Priyansh Arya","Fine leg",3
"503","Priyansh Arya","Midwicket",1
