"Batter_Name","where_caught","count_of_where_caught"
"Ishan Kishan","fine leg",1
"Ishan Kishan","mid-off",1
"Ishan Kishan","short mid-off",1
"Ishan Kishan","wicket-keeper",1
"Jake Fraser-McGurk","gully",2
"Jake Fraser-McGurk","mid-wicket",2
"Jake Fraser-McGurk","third man",2
"Jake Fraser-McGurk","cover",1
"Jake Fraser-McGurk","deep fine leg",1
"Jake Fraser-McGurk","long-off",1
"Jake Fraser-McGurk","long-on",1
"Jake Fraser-McGurk","mid-on",1
"Jake Fraser-McGurk","non-striker's end",1
"Jake Fraser-McGurk","square leg",1
"Jake Fraser-McGurk","wicket-keeper",1
"Jagadeesha Suchith","mid-on",1
"Jhye Richardson","deep cover",1
"Jofra Archer","mid-wicket",1
"Jofra Archer","point",1
"Jofra Archer","square leg",1
"Jofra Archer","wicket-keeper",1
"Jos Buttler","deep mid-wicket",4
"Jos Buttler","cover",3
"Jos Buttler","deep square leg",3
"Jos Buttler","fine leg",3
"Jos Buttler","deep cover",2
"Jos Buttler","mid-on",2
"Jos Buttler","non-striker's end",2
"Jos Buttler","third man",2
"Jos Buttler","gully",1
"Jos Buttler","long-off",1
"Jos Buttler","long-on",1
"Jos Buttler","mid-off",1
"Jos Buttler","mid-wicket",1
"Jos Buttler","slip",1
"Jos Buttler","square leg",1
"Jaydev Unadkat","fine leg",2
"Jaydev Unadkat","gully",1
"James Neesham","silly mid-off",1
"Jacob Bethell","fine leg",1
"Jacob Bethell","gully",1
"Jasprit Bumrah","square leg",1
"Jason Roy","fine leg",1
"Jason Roy","long-off",1
"Jason Roy","mid-off",1
"Jason Roy","mid-on",1
"Jason Roy","mid-wicket",1
"Jonny Bairstow","slip",4
"Jonny Bairstow","mid-off",2
"Jonny Bairstow","cover",1
"Jonny Bairstow","deep mid-wicket",1
"Jonny Bairstow","fine leg",1
"Jonny Bairstow","long-on",1
"Jonny Bairstow","mid-on",1
"Jonny Bairstow","mid-wicket",1
"Jonny Bairstow","point",1
"Jonny Bairstow","third man",1
"Jitesh Sharma","mid-wicket",5
"Jitesh Sharma","long-off",3
"Jitesh Sharma","square leg",3
"Jitesh Sharma","cover",2
"Jitesh Sharma","deep square leg",2
"Jitesh Sharma","mid-on",2
"Jitesh Sharma","slip",2
"Jitesh Sharma","third man",2
"Jitesh Sharma","deep cover",1
"Jitesh Sharma","fine leg",1
"Jitesh Sharma","gully",1
"Jitesh Sharma","long-on",1
"Jitesh Sharma","mid-off",1
"Jitesh Sharma","non-striker's end",1
"Jitesh Sharma","point",1
"Jitesh Sharma","wicket-keeper",1
"Jason Holder","deep fine leg",2
"Jason Holder","deep cover",1
"Jason Holder","long-on",1
"Jason Holder","slip",1
"Jason Holder","third man",1
"Jason Holder","wicket-keeper",1
"Josh Inglis","gully",1
"Josh Inglis","long-on",1
"Josh Inglis","mid-off",1
"Josh Inglis","slip",1
"Josh Inglis","wicket-keeper",1
"Krishnappa Gowtham","long-off",1
"Krishnappa Gowtham","third man",1
"Kumar Kartikeya","deep square leg",1
"Kumar Kartikeya","gully",1
"Kagiso Rabada","long-off",1
"Kagiso Rabada","third man",1
"Kagiso Rabada","wicket-keeper",1
"Keshav Maharaj","wicket-keeper",1
"Kieron Pollard","cover",1
"Kieron Pollard","deep mid-wicket",1
"Kieron Pollard","deep square leg",1
"Kieron Pollard","gully",1
"Kieron Pollard","slip",1
"Kieron Pollard","wicket-keeper",1
"Dinesh Karthik","wicket-keeper",4
"Dinesh Karthik","deep square leg",3
"Dinesh Karthik","long-on",3
"Dinesh Karthik","deep mid-wicket",2
"Dinesh Karthik","gully",2
"Dinesh Karthik","mid-on",2
"Dinesh Karthik","third man",2
"Dinesh Karthik","cover",1
"Dinesh Karthik","long-off",1
"Dinesh Karthik","mid-off",1
"Dinesh Karthik","point",1
"Dinesh Karthik","square leg",1
"Krunal Pandya","long-off",3
"Krunal Pandya","long-on",3
"Krunal Pandya","cover",2
"Krunal Pandya","non-striker's end",2
"Krunal Pandya","point",2
"Krunal Pandya","slip",2
"Krunal Pandya","deep cover",1
"Krunal Pandya","deep fine leg",1
"Krunal Pandya","gully",1
