"","player_name","team","games_played_window","avg_points_q1_per_game","avg_points_q2_per_game","avg_points_q3_per_game","avg_points_q4_per_game","avg_points_first_half_per_game","avg_points_second_half_per_game","points_per_game_last5","rebounds_per_game_last5","assists_per_game_last5","threes_made_per_game_last5","points_per_game_last10","rebounds_per_game_last10","assists_per_game_last10","threes_made_per_game_last10","points_per_game_last15","rebounds_per_game_last15","assists_per_game_last15","threes_made_per_game_last15"
"445","Jordan Goodwin","Lakers",126,1.6,1.6,1.82,2.25,3.2,4.06,0.75,1,0.5,0,2.67,2.3,1.11,0.56,4.36,2.93,1.64,0.71
"446","Jordan Hall","Spurs",6,0,0.5,0,4.17,0.5,4.17,3.5,0.6,0.75,0.25,3.57,1.1,1.29,0.29,3.11,0.8,1.22,0.33
"447","Jordan Hawkins","Pelicans",107,2.25,2.94,2.06,2.9,5.2,4.95,8,2.8,1.6,1.2,10,3.3,1.1,2,10.93,3.4,1.4,2
"448","Jordan McLaughlin","Spurs",140,0.82,1.46,1.26,1.49,2.28,2.74,2.75,1,2.25,0.5,2.75,0.5,2.25,0.5,3,0.47,1.71,0.57
"449","Jordan Miller","Clippers",32,0.47,1.56,0.25,2.97,2.03,3.22,2.33,0.4,1.33,0,1.75,0.2,1,0,1.83,0.27,0.83,0
"450","Jordan Nwora","Raptors",145,1.97,2.35,2.32,2.99,4.32,5.32,9,3.8,1.25,1.5,9.56,4.5,2,1.33,10.07,4.27,1.71,1.07
"451","Jordan Poole","Wizards",333,4.55,4.96,5.14,4.03,9.51,9.17,17.8,1.6,3.6,2.8,15.4,1.9,3.6,2.8,17.93,2.53,3.33,3.2
"452","Jordan Schakel","Wizards",2,0,0,0,4,0,4,1.5,0,0.5,0.5,2,0.5,0.25,0.5,1.33,0.57,0.17,0.33
"453","Jordan Walsh","Celtics",24,0.46,0.54,0.71,2,1,2.71,0,0.2,0,0,0,0.1,0.25,0,0,0.2,0.14,0
"454","Jose Alvarado","Pelicans",216,1.81,2.39,1.75,2.59,4.2,4.34,11.75,1.6,3,2.75,10.44,1.3,4.44,2.44,9.21,1.73,4.29,1.93
"455","Josh Christopher","Heat",121,0.84,2.55,0.93,3.67,3.4,4.6,0.67,0.4,0.33,0,0.5,0.2,0.25,0,0.5,0.2,0.17,0
"456","Josh Giddey","Bulls",287,3.6,3.16,3.89,3.2,6.76,7.08,18.25,7,7,1.25,21.11,8.6,8.78,1.89,20.86,9.33,8.93,1.86
"457","Josh Green","Hornets",250,2.03,2.26,1.8,1.64,4.29,3.44,9.4,1,2.2,1.8,5.7,2.2,1.9,1,6,2.07,2.13,1.2
"458","Josh Hart","Knicks",318,2.83,2.99,3.05,2.98,5.82,6.03,8.4,8.6,2.2,0.2,10,8.9,3.9,0.9,11.93,8.87,4,1.2
"459","Josh Jackson","Kings",41,1.37,3.07,1.49,2.07,4.44,3.56,8.6,3,0.6,0.6,6.86,1.6,0.57,0.43,5.78,1.2,0.56,0.33
